week,mean,upper_ci,lower_ci
-24,54.615116,56.002022,53.22821
-23,54.253887,55.585464,52.922314
-22,56.165024,57.424984,54.905064
-21,54.846886,56.07703,53.616745
-20,55.522076,56.665966,54.378185
-19,54.306095,55.474686,53.137501
-18,53.64241,54.781059,52.503761
-17,54.657917,55.709358,53.606472
-16,54.382687,55.464211,53.301163
-15,53.690704,54.677185,52.70422
-14,53.905804,54.884827,52.926785
-13,54.089142,55.060875,53.117413
-12,53.489361,54.454395,52.52433
-11,54.487053,55.406033,53.568073
-10,54.155602,55.076,53.235203
-9,54.336124,55.203598,53.468647
-8,54.346382,55.217453,53.475311
-7,55.114616,55.920143,54.30909
-6,54.743385,55.581116,53.905651
-5,54.202114,55.017357,53.386868
-4,54.052605,54.831032,53.274181
-3,54.915367,55.670921,54.159817
-2,54.963684,55.696289,54.231075
-1,55.049023,55.745789,54.352253
0,55.868793,56.468483,55.269104
1,54.147873,54.799484,53.496265
2,52.651485,53.33783,51.965145
3,52.549599,53.259781,51.839417
4,51.372128,52.088299,50.655952
5,52.051567,52.813316,51.289814
6,53.959042,54.739162,53.178925
7,54.335148,55.108471,53.561829
8,54.711617,55.477177,53.946056
9,54.062664,54.842545,53.282787
10,54.362331,55.126835,53.597828
11,54.391678,55.176609,53.606743
12,56.000351,56.79248,55.208221
13,54.539845,55.326324,53.753365
14,55.141853,55.937035,54.346672
15,55.608143,56.422005,54.794285
16,56.111134,56.929707,55.292561
17,56.794369,57.608562,55.980175
18,55.969841,56.832378,55.1073
19,56.599964,57.464882,55.735046
20,57.190311,58.054455,56.326172
21,54.910488,55.826256,53.994717
22,55.851517,56.759525,54.943508
23,54.690567,55.656929,53.724201
24,55.383068,56.370567,54.395573
